label,n_eval,original_mae,corrected_mae,mae_reduction,original_rmse,corrected_rmse,rmse_reduction,original_max_error,corrected_max_error,max_reduction,original_scaled_mae,corrected_scaled_mae,scaled_mae_reduction,improved_fraction,train_size,test_size,train_mae_scaled_model,test_mae_scaled_model,train_rmse_scaled_model,test_rmse_scaled_model,train_r2,test_r2
Random Train/Test Split,840,0.09145478658976654,0.012303712269141827,0.8654667215579226,0.19226075828294553,0.016458700878313904,0.9143938626618126,1.0782332000656396,0.07813087474655778,0.9275380550869687,0.00091724820263634,0.00012384986559714454,0.8649767148726187,0.669047619047619,2520,840,0.00012057969078310532,0.00012384986559714497,0.00015835708228261028,0.00016376970123572538,0.9910648495415056,0.9912172130432875
High Volatility Holdout: sigma=0.6,560,0.2568460268809641,0.02291305616066464,0.9107906926226904,0.3723845790919416,0.03453306937978587,0.9072650391055542,1.0782332000656396,0.1265301377455792,0.882650489951639,0.0025682242727073246,0.0002288612086969078,0.910887374156132,0.9303571428571429,2800,560,0.00011100023992236994,0.00022886120869690732,0.0001403144627125886,0.0003408943789308954,0.983856986257298,0.9855740354595327
Long Maturity Holdout: T=2.0,840,0.228148940471909,0.042074352796484076,0.8155838343607626,0.34299288907879494,0.05119025485705971,0.8507541803722354,1.0782332000656396,0.20487634304102897,0.8099888381951541,0.0022818319260584103,0.00042021981858005936,0.8158410294022231,0.680952380952381,2520,840,0.00010077328075217957,0.00042021981858005915,0.0001237882082560206,0.0005059342932871804,0.9768086772090409,0.9624507952114822
High-n Holdout: n=126,840,0.09521382965510027,0.013296313186543125,0.8603531311080828,0.1914969831438694,0.01754288152755799,0.9083908203693307,1.0782332000656396,0.0714443238448742,0.9337394509457464,0.0009522646226456222,0.00013283901861120632,0.860501991303481,0.7047619047619048,2520,840,0.00011799549898547319,0.00013283901861120613,0.0001555104572684865,0.00017307726888183858,0.9914233993802196,0.9900623285531905
Leave-One-S0-Out: S0=80,672,0.07461168178410213,0.009795219491373932,0.8687173475097696,0.14882670658821565,0.01278820997395699,0.9140731507998741,0.699094021379814,0.0471077007485361,0.9326160726484847,0.0009326460223012765,0.00012244024364217417,0.8687173475097696,0.6904761904761905,2688,672,0.00012028731563034155,0.0001224402436421744,0.00015840122257064515,0.00015985262467446253,0.991239618701135,0.991144031870671
Leave-One-S0-Out: S0=90,672,0.08353939741825918,0.01069161542617767,0.8720170870679418,0.16676147673671265,0.014021862225093296,0.9159166583345183,0.780073833749956,0.05199725897749441,0.9333431571117644,0.0009282155268695464,0.00011879572695752966,0.8720170870679418,0.6934523809523809,2688,672,0.00012125734171441547,0.00011879572695752963,0.0001592630792385302,0.00015579846916770318,0.9911627573077654,0.9915161786761834
Leave-One-S0-Out: S0=100,672,0.09272653538374358,0.012125701024133012,0.869231596177389,0.184991933222885,0.015938011018963295,0.9138448323594706,0.8809798938938265,0.0573740611724044,0.9348747212393034,0.0009272653538374357,0.00012125701024133013,0.8692315961773889,0.6919642857142857,2688,672,0.00012071942101861658,0.00012125701024133001,0.00015860297661046368,0.00015938011018963238,0.9912408471856047,0.9911012741712663
Leave-One-S0-Out: S0=110,672,0.10219823127830321,0.013154515497970542,0.8712843135009983,0.20388129987873269,0.017381808457348775,0.9147454500844984,0.9460063685966986,0.06437859616210828,0.9319469738268177,0.0009290748298027566,0.00011958650452700492,0.8712843135009983,0.6919642857142857,2688,672,0.00012103888478548453,0.00011958650452700427,0.0001588329901633913,0.00015801644052135222,0.9912082661573685,0.9912814870352428
Leave-One-S0-Out: S0=120,672,0.1115599663248641,0.01466452348005552,0.8685503056055769,0.22285100264841193,0.019317188635999676,0.9133179191189188,1.0782332000656396,0.06887363010931291,0.9361236232522612,0.0009296663860405342,0.00012220436233379602,0.8685503056055769,0.6979166666666666,2688,672,0.0001205746528705712,0.00012220436233379561,0.00015831675435904637,0.00016097657196666352,0.9912554091687716,0.9909927037413606
Leave-One-Moneyness-Out: m=0.7,480,0.10428818534483472,0.08207908500858431,0.2129589297465938,0.21754766633662237,0.0898602268837609,0.5869400559566762,0.9734899763030711,0.2328622437655099,0.7607964648492547,0.0010430109467690282,0.0008208894084643437,0.21296184761316095,0.3333333333333333,2880,480,0.00010097860386551514,0.0008208894084643435,0.00013631756593845116,0.0008898436575804908,0.9932127624198065,0.7773245649695482
