label,n_eval,original_mae,corrected_mae,mae_reduction,original_rmse,corrected_rmse,rmse_reduction,original_max_error,corrected_max_error,max_reduction,improved_fraction
Random Test Set,140,0.06912364833140976,0.014550348761461357,0.7895025926337038,0.16002993470156215,0.01960995148894674,0.8774607292971962,0.861100945352419,0.06660779354078272,0.9226481007827457,0.5928571428571429
Holdout High Vol sigma=0.6,112,0.2576754926529987,0.055593324440243216,0.7842506329652835,0.3707369153624517,0.08314219013062243,0.775738032320471,0.870979016785931,0.22160238961189727,0.7455709203768768,0.8839285714285714
Holdout ATM K=100,80,0.0906867128687058,0.012768027101619539,0.8592073006317387,0.18891386811700253,0.01598397983564172,0.9153901193440063,0.7737097532995065,0.062334374343276266,0.9194344208827023,0.6375
Holdout High n=126,140,0.08301019486850306,0.015734613236243308,0.8104496289742651,0.18349957592951924,0.021368996628899992,0.8835474331716839,0.870979016785931,0.07036240228720114,0.9192145838979554,0.6
Holdout Long Maturity T=2.0,140,0.19850317008981402,0.07711616775723967,0.6115116563511405,0.3255584078449664,0.0804844994166881,0.7527801541067387,0.870979016785931,0.13659834029767914,0.8431668987827611,0.45714285714285713
Holdout Leave-one-K K=70,80,0.08832597257877399,0.07882103983054475,0.10761197947469203,0.2067838135202983,0.08564755131182512,0.5858111432720153,0.8394830290932944,0.18465992988866375,0.7800313722981267,0.3
Holdout Leave-one-K K=80,80,0.11397936401974942,0.021649595362761877,0.8100568857445931,0.22831348920890868,0.023107108505841953,0.8987921888193879,0.870979016785931,0.03362554492846925,0.9613933926301077,0.5
Holdout Leave-one-K K=90,80,0.11985196775839142,0.014293339244446247,0.8807417223782252,0.22318485664292276,0.017468464077084744,0.9217309617693604,0.861100945352419,0.050383222577604414,0.9414897604635839,0.8
Holdout Leave-one-K K=100,80,0.0906867128687058,0.012768027101619539,0.8592073006317387,0.18891386811700253,0.01598397983564172,0.9153901193440063,0.7737097532995065,0.062334374343276266,0.9194344208827023,0.6375
Holdout Leave-one-K K=110,80,0.058086816057737654,0.014183696305983892,0.7558190090521495,0.14335184203102636,0.018240872757943626,0.8727545283024988,0.6152290715162394,0.04382854971242889,0.92876060033312,0.7
Holdout Leave-one-K K=120,80,0.049775144614188034,0.018058856855060403,0.6371912729729596,0.11140001465451158,0.023422262980259786,0.789746320474912,0.47800410181547726,0.061359720118695726,0.8716334862281532,0.65
Holdout Leave-one-K K=130,80,0.04359300977764099,0.03937009576022878,0.09687135710409611,0.08337446853615578,0.048108036409943634,0.4229883889564906,0.35397127035383846,0.12891603480301161,0.6358008527806679,0.3875
Holdout Leave-one-moneyness m=0.7,80,0.08832597257877399,0.07882103983054475,0.10761197947469203,0.2067838135202983,0.08564755131182512,0.5858111432720153,0.8394830290932944,0.18465992988866375,0.7800313722981267,0.3
Holdout Leave-one-moneyness m=0.8,80,0.11397936401974942,0.021649595362761877,0.8100568857445931,0.22831348920890868,0.023107108505841953,0.8987921888193879,0.870979016785931,0.03362554492846925,0.9613933926301077,0.5
Holdout Leave-one-moneyness m=0.9,80,0.11985196775839142,0.014293339244446247,0.8807417223782252,0.22318485664292276,0.017468464077084744,0.9217309617693604,0.861100945352419,0.050383222577604414,0.9414897604635839,0.8
Holdout Leave-one-moneyness m=1.0,80,0.0906867128687058,0.012768027101619539,0.8592073006317387,0.18891386811700253,0.01598397983564172,0.9153901193440063,0.7737097532995065,0.062334374343276266,0.9194344208827023,0.6375
Holdout Leave-one-moneyness m=1.1,80,0.058086816057737654,0.014183696305983892,0.7558190090521495,0.14335184203102636,0.018240872757943626,0.8727545283024988,0.6152290715162394,0.04382854971242889,0.92876060033312,0.7
Holdout Leave-one-moneyness m=1.2,80,0.049775144614188034,0.018058856855060403,0.6371912729729596,0.11140001465451158,0.023422262980259786,0.789746320474912,0.47800410181547726,0.061359720118695726,0.8716334862281532,0.65
Holdout Leave-one-moneyness m=1.3,80,0.04359300977764099,0.03937009576022878,0.09687135710409611,0.08337446853615578,0.048108036409943634,0.4229883889564906,0.35397127035383846,0.12891603480301161,0.6358008527806679,0.3875
Holdout Checkerboard K-sigma-n interpolation,280,0.08072852352489503,0.014846807283844252,0.8160896962364759,0.1774568561026437,0.0199073464893209,0.8878186680045419,0.870979016785931,0.07021397554781394,0.9193849975778795,0.6107142857142858
