S0,K,r,sigma,T,n,option_type,mc_price,mc_se,mc_time,cv_price,cv_se,cv_beta,cv_plain_mc_price,cv_plain_mc_std,geo_analytical,variance_reduction,cv_time,mc_cv_plain_diff,mc_cv_std_diff,tw_price,tw_time,levy_price,levy_time,cv_error_vs_mc,tw_error_vs_mc,levy_error_vs_mc,cv_abs_error_vs_mc,tw_abs_error_vs_mc,levy_abs_error_vs_mc,mc_error_vs_cv,tw_error_vs_cv,levy_error_vs_cv,mc_abs_error_vs_cv,tw_abs_error_vs_cv,levy_abs_error_vs_cv
100,70,0.05,0.1,1.0,4,call,31.582506520881303,0.02145202649499919,0.005216583958826959,31.565930518859872,0.0002775931743988744,1.00539224910229,31.582506520881306,0.02145202649499919,31.4797652061252,5971.990151289065,0.005198917002417147,-3.552713678800501e-15,0.0,31.565993548838136,6.787502206861973e-05,30.955091283539463,4.624947905540466e-06,-0.016576002021430725,-0.016512972043166485,-0.6274152373418396,0.016576002021430725,0.016512972043166485,0.6274152373418396,0.016576002021430725,6.302997826423962e-05,-0.6108392353204088,0.016576002021430725,6.302997826423962e-05,0.6108392353204088
100,70,0.05,0.1,1.0,6,call,31.343635199474072,0.0202564313329405,0.005044750054366887,31.36213125235553,0.00026730573898994076,1.0060770431680142,31.34363519947407,0.020256431332940496,31.27284246057982,5742.609779083002,0.005520459031686187,3.552713678800501e-15,3.469446951953614e-18,31.36207722101345,2.0332983694970608e-05,30.955091283539463,4.458008334040642e-06,0.018496052881456393,0.018442021539378572,-0.38854391593460846,0.018496052881456393,0.018442021539378572,0.38854391593460846,-0.018496052881456393,-5.4031342077820455e-05,-0.40703996881606486,0.018496052881456393,5.4031342077820455e-05,0.40703996881606486
100,70,0.05,0.1,1.0,8,call,31.254910871849834,0.01964360078735101,0.006660375045612454,31.26033794299135,0.0002632861674181837,1.006368130199605,31.254910871849834,0.01964360078735101,31.16996916569278,5566.549990925189,0.006686332984827459,0.0,0.0,31.26022489748561,2.1000043489038944e-05,30.955091283539463,3.2919924706220627e-06,0.005427071141514972,0.0053140256357764315,-0.2998195883103705,0.005427071141514972,0.0053140256357764315,0.2998195883103705,-0.005427071141514972,-0.00011304550573854044,-0.30524665945188545,0.005427071141514972,0.00011304550573854044,0.30524665945188545
100,70,0.05,0.1,1.0,12,call,31.17308981758496,0.019037565431248637,0.011523499968461692,31.158549606165234,0.000258353222513224,1.0068308544700109,31.173089817584952,0.019037565431248637,31.067486577847596,5429.9402660340975,0.00869475002400577,7.105427357601002e-15,0.0,31.158443133478468,2.037500962615013e-05,30.955091283539463,3.2079406082630157e-06,-0.014540211419724614,-0.014646684106491392,-0.21799853404549552,0.014540211419724614,0.014646684106491392,0.21799853404549552,0.014540211419724614,-0.00010647268676677868,-0.2034583226257709,0.014540211419724614,0.00010647268676677868,0.2034583226257709
100,70,0.05,0.1,1.0,18,call,31.095832236204416,0.018648086158113215,0.016671207966282964,31.090420831929055,0.0002549975603322848,1.0070005187370057,31.09583223620441,0.018648086158113215,30.999381416764876,5348.062615169393,0.013595374999567866,7.105427357601002e-15,0.0,31.090627823795284,2.7833040803670883e-05,30.955091283539463,4.790956154465675e-06,-0.005411404275360354,-0.00520441240913172,-0.14074095266495235,0.005411404275360354,0.00520441240913172,0.14074095266495235,0.005411404275360354,0.00020699186622863408,-0.135329548389592,0.005411404275360354,0.00020699186622863408,0.135329548389592
100,70,0.05,0.1,1.0,26,call,31.067979544976627,0.018443339027173232,0.022675542044453323,31.048574232668923,0.0002533754702482849,1.0072022816154254,31.067979544976634,0.018443339027173232,30.957556508632656,5298.463704645814,0.02136691694613546,-7.105427357601002e-15,0.0,31.04891091260176,4.016701132059097e-05,30.955091283539463,4.832982085645199e-06,-0.019405312307704037,-0.01906863237486789,-0.11288826143716335,0.019405312307704037,0.01906863237486789,0.11288826143716335,0.019405312307704037,0.00033667993283614805,-0.09348294912945931,0.019405312307704037,0.00033667993283614805,0.09348294912945931
100,70,0.05,0.1,1.0,36,call,31.050479317762154,0.018286452844175374,0.0318383330013603,31.022695072260195,0.0002537248661713424,1.00735758622746,31.050479317762154,0.018286452844175374,30.93144916160476,5194.369939785554,0.02253445901442319,0.0,0.0,31.02284387381763,2.9916991479694843e-05,30.955091283539463,3.832974471151829e-06,-0.027784245501958793,-0.02763544394452211,-0.09538803422269027,0.027784245501958793,0.02763544394452211,0.09538803422269027,0.027784245501958793,0.0001488015574366841,-0.06760378872073147,0.027784245501958793,0.0001488015574366841,0.06760378872073147
100,70,0.05,0.1,1.0,52,call,31.024331177078384,0.018155239990691675,0.04804579203482717,31.001826738400283,0.00025144927024024755,1.0073448134118876,31.02433117707839,0.018155239990691675,30.910581669370114,5213.18610695814,0.03466945898253471,-7.105427357601002e-15,0.0,31.001993582876736,5.35410363227129e-05,30.955091283539463,4.624947905540466e-06,-0.02250443867810148,-0.02233759420164816,-0.06923989353892068,0.02250443867810148,0.02233759420164816,0.06923989353892068,0.02250443867810148,0.00016684447645332057,-0.0467354548608192,0.02250443867810148,0.00016684447645332057,0.0467354548608192
100,70,0.05,0.1,1.0,78,call,30.99869673660015,0.018102210013614634,0.07537291594780982,30.98635381974316,0.0002533924046453049,1.0074435454213087,30.99869673660014,0.018102210013614634,30.894941769373794,5103.592756096387,0.0551445409655571,7.105427357601002e-15,0.0,30.98635781305461,8.000002708286047e-05,30.955091283539463,4.833098500967026e-06,-0.012342916856987074,-0.01233892354553845,-0.043605453060685306,0.012342916856987074,0.01233892354553845,0.043605453060685306,0.012342916856987074,3.993311448624581e-06,-0.03126253620369823,0.012342916856987074,3.993311448624581e-06,0.03126253620369823
100,70,0.05,0.1,1.0,126,call,30.983238338308908,0.01805405809327262,0.11690904200077057,30.974249940447443,0.0002498400053475151,1.0073735964301611,30.983238338308897,0.01805405809327262,30.88303181950009,5221.865844319597,0.08473687502555549,1.0658141036401503e-14,0.0,30.97444596650701,8.07089963927865e-05,30.955091283539463,5.167094059288502e-06,-0.008988397861465103,-0.00879237180189918,-0.02814705476944468,0.008988397861465103,0.00879237180189918,0.02814705476944468,0.008988397861465103,0.00019602605956592356,-0.019158656907979577,0.008988397861465103,0.00019602605956592356,0.019158656907979577
