model,S0,K,moneyness,log_moneyness,r,T,n,inv_n,inv_sqrt_n,v0,theta,kappa,xi,rho,sigma_eff,tw_price,mc_price,mc_std_error,residual,scaled_residual,terminal_mean,average_mean,variance_mean,option_type,n_paths,seed
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,0.5,0.1,-0.8,0.1,20.838470028949985,20.844759045890182,0.019182898846108853,-0.006289016940197456,-6.289016940197456e-05,102.53780560497135,101.37244663343958,0.010009241588496252,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,0.5,0.1,-0.4,0.1,20.838470028949985,20.841181772533343,0.019241704003346457,-0.0027117435833581283,-2.7117435833581283e-05,102.54201368087897,101.36877880097657,0.010009241588496252,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,0.5,0.1,0.0,0.1,20.838470028949985,20.837687678714964,0.019268172369379,0.0007823502350206013,7.823502350206014e-06,102.54356899878368,101.36519625375203,0.010009241588496252,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,0.5,0.3,-0.8,0.1,20.838470028949985,20.83482565866362,0.019162839320544786,0.0036443702863664384,3.644370286366438e-05,102.51267239624276,101.36132890554136,0.011596380949457176,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,0.5,0.3,-0.4,0.1,20.838470028949985,20.832852474966156,0.019381169239144787,0.0056175539838285715,5.617553983828572e-05,102.52155834201734,101.3601540790302,0.011596380949457176,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,0.5,0.3,0.0,0.1,20.838470028949985,20.83289916472868,0.01956154334887486,0.0055708642213048165,5.5708642213048165e-05,102.53134946825024,101.36026509277613,0.011596380949457176,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,0.5,0.6,-0.8,0.1,20.838470028949985,20.846340026029875,0.02043690580217027,-0.007869997079890112,-7.869997079890112e-05,102.50935357119896,101.36255154659767,0.01836894788276423,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,0.5,0.6,-0.4,0.1,20.838470028949985,20.83404460726794,0.020968468320767264,0.004425421682043407,4.4254216820434064e-05,102.51565047639873,101.35713900193824,0.01836894788276423,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,0.5,0.6,0.0,0.1,20.838470028949985,20.828289302378018,0.02143767051503465,0.010180726571967114,0.00010180726571967113,102.52563305846395,101.35463622565518,0.01836894788276423,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,2.0,0.1,-0.8,0.1,20.838470028949985,20.845683570470666,0.019206240359653206,-0.007213541520680877,-7.213541520680877e-05,102.54078351772169,101.37339456247123,0.010009768932044121,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,2.0,0.1,-0.4,0.1,20.838470028949985,20.84214388365493,0.019257153595312198,-0.003673854704945967,-3.6738547049459666e-05,102.54561271118496,101.36976526805714,0.010009768932044121,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,2.0,0.1,0.0,0.1,20.838470028949985,20.83847249639324,0.01927279529000619,-2.467443255937951e-06,-2.467443255937951e-08,102.54684915272034,101.36600093918443,0.010009768932044121,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,2.0,0.3,-0.8,0.1,20.838470028949985,20.837512789685512,0.019166150447187603,0.0009572392644727756,9.572392644727755e-06,102.51766765057248,101.36440172260795,0.01106397451387607,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,2.0,0.3,-0.4,0.1,20.838470028949985,20.835753070730714,0.019353985295059793,0.0027169582192705377,2.7169582192705378e-05,102.52816501500573,101.36317672117949,0.01106397451387607,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,2.0,0.3,0.0,0.1,20.838470028949985,20.835203813602988,0.019506725852842733,0.0032662153469971145,3.266215346997115e-05,102.53780064751767,101.36263754409377,0.01106397451387607,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,2.0,0.6,-0.8,0.1,20.838470028949985,20.845804750320667,0.020449191776769977,-0.007334721370682473,-7.334721370682473e-05,102.51412827785268,101.36454898040034,0.016699537139078287,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,2.0,0.6,-0.4,0.1,20.838470028949985,20.83472074100299,0.0209027892398692,0.003749287946995139,3.749287946995139e-05,102.52156106667903,101.35900777395291,0.016699537139078287,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.01,2.0,0.6,0.0,0.1,20.838470028949985,20.829262576959188,0.021298688984889888,0.009207451990796756,9.207451990796756e-05,102.53094966253855,101.3559561575162,0.016699537139078287,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,0.5,0.1,-0.8,0.11600040503622644,20.838471197368328,20.847930821283228,0.020678191946429544,-0.00945962391489985,-9.459623914899851e-05,102.5440754819835,101.37569870270897,0.016705022322352055,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,0.5,0.1,-0.4,0.11600040503622644,20.838471197368328,20.844388132923225,0.02073292541940727,-0.005916935554896696,-5.916935554896696e-05,102.5507378606496,101.37206633076616,0.016705022322352055,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,0.5,0.1,0.0,0.11600040503622644,20.838471197368328,20.840327682812763,0.02075334178789021,-0.0018564854444349521,-1.856485444434952e-05,102.55256486056753,101.36790308987176,0.016705022322352055,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,0.5,0.3,-0.8,0.11600040503622644,20.838471197368328,20.838846391164747,0.020521111105669235,-0.0003751937964189267,-3.751937964189267e-06,102.5165053374627,101.3651319425865,0.017806970388630595,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,0.5,0.3,-0.4,0.11600040503622644,20.838471197368328,20.8364951335313,0.020746367050828954,0.0019760638370271977,1.9760638370271978e-05,102.52721883684522,101.36379545929894,0.017806970388630595,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.01,0.04,0.5,0.3,0.0,0.11600040503622644,20.838471197368328,20.835711036400898,0.020932926092800733,0.0027601609674299254,2.7601609674299254e-05,102.53743017585863,101.36312979313632,0.017806970388630595,call,50000,42
