S0,K,r,sigma,T,n,option_type,mc_price,mc_se,mc_time,cv_price,cv_se,cv_beta,cv_plain_mc_price,cv_plain_mc_std,geo_analytical,variance_reduction,cv_time,mc_cv_plain_diff,mc_cv_std_diff,tw_price,tw_time,levy_price,levy_time,cv_error_vs_mc,tw_error_vs_mc,levy_error_vs_mc,cv_abs_error_vs_mc,tw_abs_error_vs_mc,levy_abs_error_vs_mc,mc_error_vs_cv,tw_error_vs_cv,levy_error_vs_cv,mc_abs_error_vs_cv,tw_abs_error_vs_cv,levy_abs_error_vs_cv,moneyness,log_moneyness,sigma_sqrt_T,sigma2_T,inv_n,inv_sqrt_n,tw_predicted_bias,tw_corrected_price,tw_corrected_error_vs_cv,tw_corrected_abs_error_vs_cv,tw_corrected_error_vs_mc,tw_corrected_abs_error_vs_mc
100,100,0.05,0.2,1.0,4,call,6.972530971039304,0.03065639962389766,0.0035877079935744405,6.939469894569209,0.0008728101856272431,1.024617758098594,6.972530971039304,0.03065639962389766,6.733487432526951,1233.6804592983397,0.004493583110161126,0.0,0.0,6.954240365735108,1.7750076949596405e-05,5.782838338049759,3.875000402331352e-06,-0.03306107647009515,-0.018290605304195573,-1.1896926329895452,0.03306107647009515,0.018290605304195573,1.1896926329895452,0.03306107647009515,0.014770471165899579,-1.15663155651945,0.03306107647009515,0.014770471165899579,1.15663155651945,1.0,0.0,0.2,0.04000000000000001,0.25,0.5,-0.0020002304757643988,6.952240135259344,0.012770240690135104,0.012770240690135104,-0.020290835779960048,0.020290835779960048
100,100,0.05,0.2,1.0,6,call,6.536595590277966,0.02868728154623786,0.0046757920645177364,6.548657308849986,0.0008153234563514943,1.0280763245640787,6.536595590277963,0.02868728154623786,6.335661118880461,1237.9950770818668,0.005595457972958684,3.552713678800501e-15,0.0,6.564558500832378,3.341701813042164e-05,5.782838338049759,2.7921050786972046e-06,0.012061718572019764,0.027962910554411913,-0.7537572522282074,0.012061718572019764,0.027962910554411913,0.7537572522282074,-0.012061718572019764,0.01590119198239215,-0.7658189708002272,0.012061718572019764,0.01590119198239215,0.7658189708002272,1.0,0.0,0.2,0.04000000000000001,0.16666666666666666,0.4082482904638631,-0.004699391984254064,6.559859108848124,0.011201799998137751,0.011201799998137751,0.023263518570157515,0.023263518570157515
100,100,0.05,0.2,1.0,8,call,6.343293865926135,0.027798499853092414,0.005691041937097907,6.352312012739399,0.0007876878109319061,1.029684859048367,6.343293865926135,0.027798499853092414,6.137651561852493,1245.4734372925516,0.006462582969106734,0.0,0.0,6.3694665833851225,1.541606616228819e-05,5.782838338049759,2.708984538912773e-06,0.00901814681326396,0.026172717458987194,-0.5604555278763765,0.00901814681326396,0.026172717458987194,0.5604555278763765,-0.00901814681326396,0.017154570645723233,-0.5694736746896405,0.00901814681326396,0.017154570645723233,0.5694736746896405,1.0,0.0,0.2,0.04000000000000001,0.125,0.35355339059327373,-0.00677497452873356,6.362691608856389,0.010379596116989909,0.010379596116989909,0.01939774293025387,0.01939774293025387
100,100,0.05,0.2,1.0,12,call,6.158862220363357,0.026961897317981307,0.008479583077132702,6.157142715907756,0.0007574711807143256,1.0314622516032554,6.158862220363355,0.0269618973179813,5.940200221633534,1266.9768300439357,0.00875345803797245,1.7763568394002505e-15,6.938893903907228e-18,6.174171148981057,1.6749952919781208e-05,5.782838338049759,2.666027285158634e-06,-0.0017195044556013173,0.015308928617700168,-0.3760238823135982,0.0017195044556013173,0.015308928617700168,0.3760238823135982,0.0017195044556013173,0.017028433073301485,-0.37430437785799686,0.0017195044556013173,0.017028433073301485,0.37430437785799686,1.0,0.0,0.2,0.04000000000000001,0.08333333333333333,0.2886751345948129,-0.0090019791090905,6.165169169871967,0.0080264539642112,0.0080264539642112,0.006306949508609883,0.006306949508609883
100,100,0.05,0.2,1.0,18,call,6.012177402246725,0.026299155422183435,0.013474415987730026,6.025329534711979,0.0007308936521403154,1.032745651958188,6.01217740224672,0.026299155422183435,5.808857819143395,1294.718111516653,0.012826292077079415,5.329070518200751e-15,0.0,6.043845623179887,2.2833002731204033e-05,5.782838338049759,3.2079406082630157e-06,0.013152132465253707,0.03166822093316224,-0.22933906419696637,0.013152132465253707,0.03166822093316224,0.22933906419696637,-0.013152132465253707,0.01851608846790853,-0.24249119666222008,0.013152132465253707,0.01851608846790853,0.24249119666222008,1.0,0.0,0.2,0.04000000000000001,0.05555555555555555,0.23570226039551587,-0.010361081121265707,6.033484542058622,0.008155007346642762,0.008155007346642762,0.02130713981189647,0.02130713981189647
100,100,0.05,0.2,1.0,26,call,5.961820914866956,0.026031597380692214,0.019397250027395785,5.943837208257122,0.0007209021770422956,1.0334244850742658,5.96182091486696,0.026031597380692217,5.7281416392869255,1303.914044385206,0.0184823329327628,-4.440892098500626e-15,-3.469446951953614e-18,5.963588877223737,2.9999995604157448e-05,5.782838338049759,4.582921974360943e-06,-0.01798370660983384,0.0017679623567810054,-0.1789825768171971,0.01798370660983384,0.0017679623567810054,0.1789825768171971,0.01798370660983384,0.019751668966614844,-0.16099887020736325,0.01798370660983384,0.019751668966614844,0.16099887020736325,1.0,0.0,0.2,0.04000000000000001,0.038461538461538464,0.19611613513818404,-0.011063171757491448,5.952525705466245,0.008688497209123014,0.008688497209123014,-0.009295209400710824,0.009295209400710824
100,100,0.05,0.2,1.0,36,call,5.913000589214003,0.02580602668969121,0.0314042919781059,5.8947586158570395,0.0007148944850533748,1.034190201406676,5.913000589214,0.0258060266896912,5.677734936002795,1303.0419292350919,0.025157874915748835,3.552713678800501e-15,1.0408340855860843e-17,5.913405161170312,4.129204899072647e-05,5.782838338049759,5.042064003646374e-06,-0.018241973356963648,0.0004045719563086081,-0.1301622511642444,0.018241973356963648,0.0004045719563086081,0.1301622511642444,0.018241973356963648,0.018646545313272256,-0.11192027780728075,0.018241973356963648,0.018646545313272256,0.11192027780728075,1.0,0.0,0.2,0.04000000000000001,0.027777777777777776,0.16666666666666666,-0.011461187291529104,5.901943973878783,0.007185358021743582,0.007185358021743582,-0.011056615335220066,0.011056615335220066
100,100,0.05,0.2,1.0,52,call,5.862505895599935,0.025598574083538328,0.03997954202350229,5.853736041712488,0.0007016794159084746,1.034337281149417,5.862505895599937,0.02559857408353833,5.637431620369425,1330.9265112176288,0.03584254102315754,-1.7763568394002505e-15,-3.469446951953614e-18,5.873244770616853,7.095793262124062e-05,5.782838338049759,5.415990017354488e-06,-0.008769853887446999,0.010738875016917504,-0.0796675575501764,0.008769853887446999,0.010738875016917504,0.0796675575501764,0.008769853887446999,0.019508728904364503,-0.0708977036627294,0.008769853887446999,0.019508728904364503,0.0708977036627294,1.0,0.0,0.2,0.04000000000000001,0.019230769230769232,0.1386750490563073,-0.011845370593704267,5.861399400023148,0.007663358310660229,0.007663358310660229,-0.0011064955767867701,0.0011064955767867701
100,100,0.05,0.2,1.0,78,call,5.83194581331403,0.025476493537297543,0.05984283401630819,5.823790484965711,0.0007018550546281201,1.0349227257881959,5.831945813314028,0.025476493537297543,5.607216735887686,1317.6026001295565,0.051680332981050014,1.7763568394002505e-15,0.0,5.843116420243362,0.0001580830430611968,5.782838338049759,4.415982402861118e-06,-0.008155328348318669,0.011170606929332472,-0.04910747526427084,0.008155328348318669,0.011170606929332472,0.04910747526427084,0.008155328348318669,0.01932593527765114,-0.04095214691595217,0.008155328348318669,0.01932593527765114,0.04095214691595217,1.0,0.0,0.2,0.04000000000000001,0.01282051282051282,0.11322770341445956,-0.012343506392083647,5.830772913851279,0.006982428885567771,0.006982428885567771,-0.0011728994627508982,0.0011728994627508982
100,100,0.05,0.2,1.0,126,call,5.811309701571528,0.025403258673543625,0.09965654090046883,5.799743512281673,0.0006892970816587969,1.034572595522347,5.811309701571525,0.02540325867354361,5.584203004341197,1358.207053325515,0.0860990840010345,2.6645352591003757e-15,1.3877787807814457e-17,5.820156745889735,0.00015408301260322332,5.782838338049759,4.792003892362118e-06,-0.0115661892898542,0.008847044318207153,-0.028471363521768822,0.0115661892898542,0.008847044318207153,0.028471363521768822,0.0115661892898542,0.020413233608061354,-0.01690517423191462,0.0115661892898542,0.020413233608061354,0.01690517423191462,1.0,0.0,0.2,0.04000000000000001,0.007936507936507936,0.0890870806374748,-0.012989102308389705,5.807167643581345,0.007424131299671899,0.007424131299671899,-0.004142057990182302,0.004142057990182302
