S0,K,moneyness,log_moneyness,r,T,sigma,sigma2,n,inv_n,inv_sqrt_n,option_type,cv_mc_price,cv_mc_se,tw_price,tw_residual,tw_abs_residual,tw_rel_residual,scaled_tw_residual,scaled_tw_abs_residual
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.1,0.010000000000000002,12,0.08333333333333333,0.2886751345948129,call,24.23912926761291,3.4462946322493935e-05,24.239134531961298,5.264348388323015e-06,5.264348388323015e-06,2.171838901555333e-07,6.580435485403768e-08,6.580435485403768e-08
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.1,0.010000000000000002,26,0.038461538461538464,0.19611613513818404,call,24.21680823239798,3.420516876916882e-05,24.21683261900097,2.438660299119988e-05,2.438660299119988e-05,1.0070114425143252e-06,3.048325373899985e-07,3.048325373899985e-07
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.1,0.010000000000000002,52,0.019230769230769232,0.1386750490563073,call,24.207304208183345,3.424343590817815e-05,24.20727593241719,-2.8275766155161364e-05,2.8275766155161364e-05,-1.1680675349881654e-06,-3.5344707693951705e-07,3.5344707693951705e-07
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.1,0.010000000000000002,126,0.007936507936507936,0.0890870806374748,call,24.20165435892151,3.3871250739514704e-05,24.201663632104555,9.273183046332178e-06,9.273183046332178e-06,3.8316318830137265e-07,1.1591478807915223e-07,1.1591478807915223e-07
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.2,0.04000000000000001,12,0.08333333333333333,0.2886751345948129,call,24.238933305577635,0.00013484502735094733,24.23913453304171,0.00020122746407480463,0.00020122746407480463,8.301828365875328e-06,2.5153433009350577e-06,2.5153433009350577e-06
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.2,0.04000000000000001,26,0.038461538461538464,0.19611613513818404,call,24.217051637653853,0.00013550511124071747,24.21683261932173,-0.00021901833212467636,0.00021901833212467636,-9.043971801428377e-06,-2.7377291515584544e-06,2.7377291515584544e-06
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.2,0.04000000000000001,52,0.019230769230769232,0.1386750490563073,call,24.207400139875798,0.00013442553759460037,24.207275932600975,-0.00012420727482265193,0.00012420727482265193,-5.130963015646223e-06,-1.5525909352831491e-06,1.5525909352831491e-06
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.2,0.04000000000000001,126,0.007936507936507936,0.0890870806374748,call,24.201652773454327,0.00013422699357879084,24.201663632235622,1.0858781294587061e-05,1.0858781294587061e-05,4.486793276572233e-07,1.3573476618233826e-07,1.3573476618233826e-07
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.3,0.09,12,0.08333333333333333,0.2886751345948129,call,24.239204727726605,0.0003061392465960708,24.239190898792167,-1.3828934438464557e-05,1.3828934438464557e-05,-5.705193133933967e-07,-1.7286168048080696e-07,1.7286168048080696e-07
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.3,0.09,26,0.038461538461538464,0.19611613513818404,call,24.216861332441972,0.00030390230411643027,24.21686403424751,2.701805538407598e-06,2.701805538407598e-06,1.1156712264723341e-07,3.377256923009497e-08,3.377256923009497e-08
80,56.0,0.7,-0.35667494393873245,0.05,0.25,0.3,0.09,52,0.019230769230769232,0.1386750490563073,call,24.20716045138712,0.00030326728033635257,24.207299979325263,0.00013952793814198117,0.00013952793814198117,5.763911815356515e-06,1.7440992267747646e-06,1.7440992267747646e-06
